parcel_id,year_built,lat,lng
070929405079,1955,43.0529112,-89.4534241
070929405095,1957,43.0529737,-89.452851
070929405243,1955,43.0532596,-89.4541599
070929406027,1955,43.0499187,-89.4538211
070929407083,1956,43.0521136,-89.4534398
070929407108,1955,43.0521864,-89.45282
070929408073,1955,43.0525523,-89.4508155
070929408099,1956,43.0521656,-89.4504241
070929408114,1955,43.0521607,-89.4498252
070929409104,1956,43.0513281,-89.4504441
070929409120,1954,43.0513861,-89.4499538
070929410119,1955,43.0513539,-89.4528694
070929410135,1956,43.0514121,-89.4523149
070929412016,1955,43.0502658,-89.4514126
070929412032,1955,43.0509602,-89.4514005
070929413080,1965,43.0503677,-89.4508391
070929413105,1962,43.0504941,-89.4501742
070929415052,1957,43.0501811,-89.4487778
070929415078,1956,43.0500318,-89.449392
070929415226,1957,43.0498649,-89.4482666
070929415242,1954,43.0499683,-89.4476459
070929416109,1962,43.0484146,-89.4541031
070929416125,1957,43.0488661,-89.4539328
070929416141,1957,43.049094,-89.4535228
070929416274,1958,43.0495928,-89.4529367
070929416290,1959,43.0494908,-89.4535955
070929417131,1958,43.0484587,-89.452309
070929417157,1957,43.048592,-89.4518088
070929418147,1958,43.0487806,-89.4504366
070929418163,1958,43.0488422,-89.4499328
070929419046,1960,43.0500536,-89.4462157
070929419062,1951,43.0506086,-89.4459385
070929419210,1958,43.0484273,-89.4485404
070929419236,1958,43.0484449,-89.4491075
070929419385,1960,43.0479285,-89.4485645
070929420019,1936,43.0488852,-89.443779
070929420142,1951,43.0489386,-89.4449839
070929420168,1950,43.0491388,-89.4453211
070929421017,1949,43.0484807,-89.4453291
070929421140,1940,43.0474008,-89.4447641
070929421166,1940,43.0476634,-89.4446177
070929422106,1951,43.0468193,-89.4457187
070929422122,1940,43.0472143,-89.4459471
070929423104,1955,43.0472862,-89.4479348
070929424029,1960,43.0475235,-89.4494029
070929425126,1959,43.0476793,-89.4525578
070929425142,1959,43.0476999,-89.4520047
070929426132,1964,43.0468546,-89.4526258
070929426158,1965,43.0467798,-89.4520101
070929427073,1972,43.0460882,-89.448733
070929427099,1938,43.0459999,-89.448383
070929428013,1949,43.0464595,-89.4457143
070929428039,1953,43.0463894,-89.4466011
070929428055,1958,43.0464181,-89.4472426
070930101153,1958,43.0596439,-89.4645039
070930101179,1959,43.0599777,-89.4645922
070930102143,1959,43.0605894,-89.4643616
070930103018,1965,43.0553963,-89.465639
070930103167,1959,43.058423,-89.4656043
070930104016,1959,43.0584054,-89.4643571
070930104165,1962,43.0559867,-89.4650533
070930104181,1962,43.0554161,-89.465232
070930104339,1963,43.0578337,-89.4645887
070930105014,1960,43.0539525,-89.4658934
070930105147,1960,43.0547391,-89.4651115
070930105163,1967,43.054512,-89.4656034
070930107143,2000,43.0554397,-89.4689214
070930108026,2000,43.0539479,-89.4729985
070930201044,1997,43.0575706,-89.4801283
070930301068,2005,43.0476091,-89.4777337
070930301084,2024,43.0469521,-89.4762061
070930303064,1979,43.04983,-89.4776728
070930304020,1965,43.0485913,-89.4743566
070930305151,1985,43.0521414,-89.4794278
070930401032,1959,43.0533077,-89.4643601
070930401058,1960,43.0533117,-89.464851
070930402056,1960,43.0526716,-89.4675543
070930402072,1959,43.0530144,-89.4671277
070930404036,2013,43.0502501,-89.4713834
070930405084,1956,43.0507795,-89.4676039
070930405109,1959,43.0514341,-89.4675868
070930406123,1960,43.0526505,-89.4658843
070930406149,1958,43.053154,-89.4657533
070930408012,1956,43.0515951,-89.4637545
070930408038,1956,43.0514832,-89.4643528
070930408187,1957,43.0512071,-89.4658592
